category,name,date,text
debate,Donald Trump,2020,"Yes, I know this."
debate,Savannah Guthrie,2020,"He came out tonight and said, “I was wrong not to wear a mask.”"
debate,Donald Trump,2020,"Well, I mean, he has to say that. I think it’s great, he’s a friend of mine. He’s a good guy. And wrong or not wrong, you have to understand, as President, I can’t be locked in a room someplace for the next year and just stay and do nothing. And every time I go into a crowd, I was with the parents of our fallen heroes. These people are the most incredible people. And they came up to me and they would hug me, and they would touch me, and I’m not to not let them do it, to be honest with you."
debate,Savannah Guthrie,2020,"Now, there was an event with the gold star families the day after the Supreme Court event."
debate,Donald Trump,2020,"There was, exactly right. We had a gold star event with the most incredible people you’ve ever seen. And I could have chosen not to talk to them, or to keep everybody away. And you know what? I don’t think that’s probably where it was caught, but maybe it was."
debate,Savannah Guthrie,2020,"I going to say, you bring it up, you brought it up yourself. I mean, are you trying to suggest that? Do you believe a grieving military family gave you a COVID?"
debate,Donald Trump,2020,"No, I don’t know where it came from, and you don’t know where it came from, and the doctors don’t know where it came from. But as the President, I have to be out there. I also know-"
debate,Savannah Guthrie,2020,"Well, there’s no one that says you can’t be out there, but it’s just about wearing masks and having… For example, your rallies."
debate,Donald Trump,2020,I know this.
debate,Savannah Guthrie,2020,Your rallies don’t require masks.
debate,Donald Trump,2020,"I mean, let’s see, Kamala. She’s got people now, people have it, and I’m not blaming her. I’m not saying, “Oh, she did a terrible thing.” As President, I have to be out there. I can’t be in a basement. I can’t be locked in a very beautiful room someplace in the White House. And I want to see the gold star families, and I want to see everybody. And I also say to people all the time, it’s risky doing it. It is risky doing it."
debate,Savannah Guthrie,2020,"But as President, you’re right. You want to be a leader, but you also are a leader and a setter of an example. And if you’re not wearing a mask when your administration is saying, “Best practice right now is wear a mask,” no, it’s not foolproof. But that will-"
debate,Donald Trump,2020,"But many people are catching it. Many people are getting this disease that was sent to us by China, and it shouldn’t have been allowed to happen. But many people are getting this. And I mean, nobody’s being blamed. Everybody is working hard to get this thing out of our country, get it out of the world. Look at what’s going on in Europe, massive spikes. They’ve done a very good job, but now you take a look today at the UK, you take a look at Spain and France and Italy. There’s tremendous spikes."
debate,Savannah Guthrie,2020,"But our death rate is worse than, well, not Spain, but those other countries."
debate,Donald Trump,2020,"Well, I have thing right here that will tell you exactly the opposite."
debate,Savannah Guthrie,2020,Me too.
debate,Donald Trump,2020,"The UK is up 2500%, because I knew you’d be doing this. I know you very well. The UK is up 2500%. The EU is up 722%. And the United States is down 21%."
debate,Savannah Guthrie,2020,But we have per… Our deaths per capita is among the highest of all-
debate,Donald Trump,2020,Excess mortality.
debate,Savannah Guthrie,2020,I’m sorry?
debate,Donald Trump,2020,"Excess mortality, we’re a winner on the excess mortality. And what we’ve done has been amazing. And we have done an amazing job. And it’s rounding the corner and we have the vaccines coming, and we have the therapies coming. And I’ll tell you what, one thing. When I got it, I had a choice. Do nothing, or use some of the things that we’re looking at, like in this case, Regeneron. and Eli Lilly makes something that’s supposed to be incredible. And I think that maybe I wouldn’t be doing this discussion with you right now. We have therapies now and cures, maybe you can use the word cure, but we have therapies that are absolutely incredible, Savannah."
debate,Savannah Guthrie,2020,I want to pick up on something you just said. You said we’re rounding the corner.
debate,Donald Trump,2020,"I believe we’re rounding the corner, yes."
debate,Savannah Guthrie,2020,"10% of the country approximately has had COVID. That means 80%-90%, 90%, let’s do the math, is still vulnerable."
debate,Donald Trump,2020,"Right, right. That’s right."
debate,Savannah Guthrie,2020,"There’s been some talk, including from the White House lately that perhaps it approves of what’s called herd immunity. That’s where you basically just let young people and everybody gets sick. You try to protect the old people and those who are sick. And hopefully, it gets up to a certain level, and now we’re all immune."
debate,Donald Trump,2020,Yeah.
debate,Savannah Guthrie,2020,"So let’s just be clear about it. It also means more deaths. Do you support herd immunity as a strategy? Essentially, just let people get sick?"
debate,Donald Trump,2020,"The cure can not be worse than the problem itself. We did the right thing. We were expected to lose 2,200,000 people, and maybe more than that. We’re at 210,000 people. One person is too much, it should have never happened because of China. It happened because of China. And you have to get that and understand that. But it shouldn’t have happened. But we were expected to lose, if you look at the original charts from original doctors who are respected by everybody, 2,200,00 people."
debate,Savannah Guthrie,2020,"That 2 million figure, though, is if you literally did nothing."
debate,Donald Trump,2020,We saved 2 million people.
debate,Savannah Guthrie,2020,"The 2 million figure is if you did absolutely nothing, it would be 2 million. The question is, should the deaths be better than 200,000, when-"
debate,Donald Trump,2020,"I don’t know, let me tell you what is happening. I left North Carolina, which I love. I left Pennsylvania. We won a big case in Michigan because that governor has a lockdown where nobody but her husband can do anything. He can go boating and do whatever he wants, but nobody else can. The fact is we’re winning all these cases because it’s unconstitutional what they’re doing. And I think they’re doing it for political reasons. But the fact is the cure, you can’t let this continue to go on with the lockdowns. And I believe that on November 4th, you’re going to have a lot of these governors."
debate,Donald Trump,2020,"Look at what’s happening to New York. New York is a mess. They lost almost 40,000 people. They have a lockdown like you’ve never seen. Now they’re open, it’s like a ghost town. And Savannah, it’s very important. People are leaving New York by the thousands, and you’re going to have a hard time ever building it up again. So that cure, that so called cure that you talk about, it can’t be worse than the problem. The problem is a bad problem."
debate,Savannah Guthrie,2020,We’ve got more questions.
debate,Donald Trump,2020,… than the problem. The problem is a bad problem.
debate,Savannah Guthrie,2020,We’ve got more questions on COVID-
debate,Donald Trump,2020,"Okay, fine."
debate,Savannah Guthrie,2020,"… so let’s drop it, for now. We were supposed to, as mentioned, be watching you on a debate stage right now. We’re not doing that, so let’s clear up a few things from the last one. You were asked point blank to denounce white supremacy. In the moment, you didn’t. You asked some follow up questions. “Who, specifically?” A couple of days later, on a different show-"
debate,Donald Trump,2020,"Oh, you always do this."
debate,Savannah Guthrie,2020,… you denounced white supremacy.
debate,Donald Trump,2020,"No, you always do this."
debate,Savannah Guthrie,2020,My question to you is-
debate,Donald Trump,2020,"You’ve done this to me, and everybody-"
debate,Savannah Guthrie,2020,… why does it seem like-
debate,Donald Trump,2020,I denounce white supremacy. Okay?
debate,Savannah Guthrie,2020,"You did, two days later."
debate,Donald Trump,2020,"I’ve denounced white supremacy, for years, but you always do it. You always start off with the question. You didn’t ask Joe Biden, whether or not he denounces Antifa. I watched him on the same basic show with Lester Holt, and he was asking questions like Biden was a child."
debate,Savannah Guthrie,2020,"Well, so this is a little bit of a dodge."
debate,Donald Trump,2020,"So, are you ready? Are you… Wait. Are you listening? I denounce white supremacy."
debate,Savannah Guthrie,2020,Okay.
debate,Donald Trump,2020,What’s your next question?
